label,property,type,isIndexed,uniqueConstraint,existenceConstraint
Authors,fastrp,LIST,false,false,false
Authors,author,STRING,true,false,false
Publishers,publisher,STRING,true,false,false
Publishers,fastrp,LIST,false,false,false
YearsOfPublication,year_of_publication,INTEGER,true,false,false
YearsOfPublication,fastrp,LIST,false,false,false
Users,fastrp,LIST,false,false,false
Users,last_name,STRING,false,false,false
Users,location,STRING,false,false,false
Users,first_name,STRING,false,false,false
Users,user,INTEGER,true,false,false
Users,age,INTEGER,false,false,false
Titles,fastrp,LIST,false,false,false
Titles,author,STRING,false,false,false
Titles,isbn,STRING,true,false,false
Titles,publisher,STRING,false,false,false
Titles,title,STRING,true,false,false
Titles,year_of_publication,INTEGER,false,false,false